a,alpha_obj_deg,theta_inc_deg,theta_img_deg,energy_total,energy_cross,f_cross,peak_cross_over_peak_total,hwhm_x,hwhm_y,hwhm_scalar,ellipticity,first_min_x,first_min_y,first_min_scalar,r50,r50_scalar,throughput
0.4,2.2563129374405166,17.879835290146755,3.8126890446971657,12.263895706777886,1.5446928461131722e-05,1.2595449953634773e-06,3.888813541918615e-07,4.04246172658044,4.046482533447689,4.044470825023791,0.9990063451815215,9.549356223175966,9.549356223175966,9.549356223175966,4.130407799367484,4.130400213277069,0.6180147729254912
0.5071209306357316,2.834374458164925,22.34566323156141,4.828802185235435,19.548669515576474,6.26913812755925e-05,3.2069385195570324e-06,9.915223402867218e-07,3.190017867663526,3.1950882592567114,3.1925504311936286,0.9984130668132576,7.532212256516253,7.616843854904076,7.616843854904076,3.257286603102467,3.2572713823378927,0.6128928059484483
0.6142418612714633,3.3952344828333993,26.613592935547274,5.841973283058361,28.388236813668417,0.00019253580415416706,6.782238904723543e-06,2.1004885549737358e-06,2.6351857223350237,2.6412880235147105,2.638232252106992,0.9976896494720153,6.2186293870685185,6.28850162737266,6.28850162737266,2.68861627379457,2.6885897278383903,0.6066664644267132
0.7213627919071949,3.9365149532722423,30.668062920604456,6.8520926389574806,38.683894408796405,0.0004890302804048417,1.264170239006857e-05,3.922899139902772e-06,2.2453839666446322,2.2524982654363455,2.2489337352171113,0.9968415963284504,5.354671723493814,5.354671723493814,5.354671723493814,2.2887854572884763,2.28874338036654,0.5993949846125457
0.8284837225429265,4.4563663453083775,34.50242633788797,7.859262926140429,50.32340559688867,0.001081893392267335,2.1498811128438908e-05,6.686239640927071e-06,1.956602611495284,1.9647074049354993,1.9606439983383426,0.9958748089309097,4.6623256910227,4.6623256910227,4.6623256910227,1.9923219850476828,1.992259772712099,0.5911428680065921
0.935604653178658,4.953440358620165,38.117316587881504,8.863786307338,63.183078476953895,0.002154554531096005,3.4100182881748654e-05,1.063152182737874e-05,1.7341484076102984,1.7432215942653195,1.7386692221841762,0.9947951616220971,4.128518312818198,4.174390738516178,4.128518312818198,1.7637401616409194,1.76365292529527,0.5819778110304854
1.0427255838143896,5.4268413324785,41.51886158486279,9.866143279202047,77.12977668438958,0.00394931920202821,5.120356069729836e-05,1.600805116919532e-05,1.5575863875854983,1.567622814705826,1.5625741658944592,0.9935976773072092,3.7043887712776993,3.7455486465141186,3.7043887712776993,1.582137871858909,1.582020546880014,0.5719688876455638
1.1498465144501213,5.876065680814881,44.71700601199822,10.866967296807948,92.02280086159769,0.00676904307571418,7.355832481011769e-05,2.3067029083561763e-05,1.414098581211375,1.4250728802579067,1.4195471004977818,0.9922991313647443,3.3592839528267016,3.3966093300803317,3.3966093300803317,1.434403486188816,1.43425093107424,0.5611850488974655
1.256967445085853,6.300937108963501,47.7240847117065,11.867018492886976,107.7156071141379,0.010974976667856665,0.00010188845388233602,3.205586874671673e-05,1.2952386298480976,1.307126404023866,1.3011420054014933,0.9909054134786254,3.0729999884302353,3.1412888770620184,3.107144432746127,1.3118963816756322,1.3117034672460572,0.5496939594965569
1.3640883757215845,6.701543310423452,50.553697805234904,12.867158857825487,124.0573521098681,0.016980657487949254,0.00013687747803057076,4.3215615263449033e-05,1.1952155678899463,1.2079935983671355,1.201560473666625,0.9894221041448718,2.8631424976960393,2.8946056020663256,2.8631424976960393,1.2086916204650964,1.208453309440492,0.5375611592563828
