orientation,r_a,model,alpha_deg,sep_over_dAiry,contrast,f_cross_image,rel_l1_vs_scalar
sep_x,2.0,sca,18.43494882292201,0.5130789412946122,-0.0635418011595709,0.0,0.0
sep_x,2.0,vec,18.43494882292201,0.5130789412946122,-0.06345711474038217,5.7251142901681636e-06,0.0035281142504752423
sep_x,2.5,sca,22.61986494804043,0.6240377207533828,0.31376608173115306,0.0,0.0
sep_x,2.5,vec,22.61986494804043,0.6240377207533828,0.32269940940150926,1.0121919807939533e-05,0.009037197467384302
sep_x,3.0,sca,26.56505117707799,0.7256031973468695,0.7462632882367841,0.0,0.0
sep_x,3.0,vec,26.56505117707799,0.7256031973468695,0.7622394971649571,2.2628543134543787e-05,0.014807247931604064
sep_x,3.5,sca,30.256437163529263,0.8175297684364727,0.9661792214714465,0.0,0.0
sep_x,3.5,vec,30.256437163529263,0.8175297684364727,0.9750963178562405,4.0615421518249704e-05,0.016887268719356197
sep_x,4.0,sca,33.690067525979785,0.9,0.9998106892089832,0.0,0.0
sep_x,4.0,vec,33.690067525979785,0.9,0.9996053890578308,6.049769510488223e-05,0.016780893293470954
sep_x,5.0,sca,39.8055710922652,1.0386979554340865,0.99971444572344,0.0,0.0
sep_x,5.0,vec,39.8055710922652,1.0386979554340865,0.9987729767894179,0.00010169254962486263,0.019841874672711177
sep_x,6.5,sca,47.29061004263853,1.1922171736463874,0.9978875484820561,0.0,0.0
sep_x,6.5,vec,47.29061004263853,1.1922171736463874,0.9955125982892684,0.0001468497356314394,0.021827340399469503
sep_y,2.0,sca,18.43494882292201,0.5130789412946122,-0.06354180115957075,0.0,0.0
sep_y,2.0,vec,18.43494882292201,0.5130789412946122,-0.06362704493168778,5.739044881273322e-06,0.0035222354285497966
sep_y,2.5,sca,22.61986494804043,0.6240377207533828,0.3137660817311531,0.0,0.0
sep_y,2.5,vec,22.61986494804043,0.6240377207533828,0.3047449412408106,1.0238165190676409e-05,0.009038451140658441
sep_y,3.0,sca,26.56505117707799,0.7256031973468695,0.7462632882367842,0.0,0.0
sep_y,3.0,vec,26.56505117707799,0.7256031973468695,0.7296716270413286,2.3256162411230825e-05,0.01501439224589051
sep_y,3.5,sca,30.256437163529263,0.8175297684364727,0.9661792214714465,0.0,0.0
sep_y,3.5,vec,30.256437163529263,0.8175297684364727,0.9556549153495077,4.2736821507430115e-05,0.017395802360260778
sep_y,4.0,sca,33.690067525979785,0.9,0.9998106892089832,0.0,0.0
sep_y,4.0,vec,33.690067525979785,0.9,0.9997517194657731,6.479318637233406e-05,0.017282048861521793
sep_y,5.0,sca,39.8055710922652,1.0386979554340865,0.99971444572344,0.0,0.0
sep_y,5.0,vec,39.8055710922652,1.0386979554340865,0.99990855591264,0.00011125043287131774,0.02049331441462318
sep_y,6.5,sca,47.29061004263853,1.1922171736463874,0.9978875484820561,0.0,0.0
sep_y,6.5,vec,47.29061004263853,1.1922171736463874,0.9994168264200521,0.00016205143670211167,0.022831889562628167
