ni,z0,zi,a,eps,p,f_cross,peak_cross_over_peak_total,throughput,hwhm_x,hwhm_y,ellipticity,energy_total
1.33,-10.0,6.0,3.396958656471759,0.0,0,0.0011407208371735445,0.00044825748501892403,0.23871077347811553,0.5641409773694099,0.5866623646648736,0.961610990150478,341.63483851140853
1.5,-10.0,6.0,3.6831655279934608,0.0,0,0.002147630847901292,0.0008435651935697847,0.21958054264420002,0.5133841087885557,0.5417097349447144,0.9477106938847064,369.4417203604052
1.8,-10.0,6.0,4.070244931914078,0.0,0,0.004172394849450678,0.0016354448881920395,0.1861899939924524,0.45605120854059433,0.49142269776355996,0.9280222721011067,382.5665863507041
2.2,-10.0,6.0,4.444195556045657,0.0,0,0.007018061464532175,0.002745795962320551,0.1497857986375908,0.4102210358860806,0.4518256371648366,0.9079189008843744,366.91593239190485
2.6,-10.0,6.0,4.717312199009932,0.0,0,0.009805397174289398,0.003832998853174815,0.12253071002249168,0.3810577037722323,0.4270472777338191,0.8923080034472146,338.17679078093767
3.0,-10.0,6.0,4.927843585470479,0.0,0,0.01244126102091397,0.004860977894828441,0.10193736096823719,0.3606773046080164,0.40996268066692876,0.8797808230282456,307.01304167357955
1.5,-3.0,3.0,1.6885087630711644,0.0,0,0.00240837555178695,0.0009513737195375509,0.19786488970072103,1.1328588922183127,1.1994895074482164,0.9444508561215738,69.96566792904142
1.5,-3.0,6.0,2.873078745535901,0.0,0,0.002915206084759454,0.0011508290429717472,0.1626883817760619,0.6789578369334188,0.7231687252519985,0.9388650438344471,166.55635479101238
1.5,-3.0,10.0,4.122836422526396,0.0,0,0.0034102587259530227,0.0013327590938712677,0.13488072359737338,0.481425956703882,0.5153867149673297,0.9341062598681837,284.3489996682918
1.5,-5.0,3.0,1.8410193070043819,0.0,0,0.002147524259035744,0.0008434558293266852,0.21971340104405332,1.0268172308513717,1.0834652299332694,0.9477159049345896,92.35976989563477
1.5,-5.0,6.0,3.2524625479921956,0.0,0,0.0025236981090809678,0.000997684416303481,0.18912872936629696,0.590903502529647,0.6265611608387605,0.9430899000164971,248.13711182666472
1.5,-5.0,10.0,4.788425721509765,0.0,0,0.002915204324903355,0.0011508266439535617,0.1626910025111985,0.4073751568614645,0.4339016577940901,0.9388651772673939,462.65648575430913
1.5,-10.0,3.0,1.9933271908269288,0.0,0,0.0019165787983553093,0.0007453749529266752,0.2414741194636166,0.9378382707273112,0.9863728384559635,0.9507949065136194,118.9973753258807
1.5,-10.0,6.0,3.6831655279934608,0.0,0,0.002147630847901292,0.0008435651935697847,0.21958054264420002,0.5133841087885557,0.5417097349447144,0.9477106938847064,369.4417203604052
1.5,-10.0,10.0,5.628242807579957,0.0,0,0.0024083694379182447,0.000951367025332844,0.1978732274653888,0.3398587495216207,0.3598478300161898,0.9444512962780135,777.3959915701356
1.5,-10.0,6.0,3.6831655279934608,0.0,0,0.002147630847901292,0.0008435651935697847,0.21958054264420002,0.5133841087885557,0.5417097349447144,0.9477106938847064,369.4417203604052
1.5,-10.0,6.0,3.6831655279934608,0.0,2,0.005832697715098441,0.002080937477128797,0.07499992412019865,0.4122526938712292,0.4393589494255048,0.9383049882340645,42.0623825590472
1.5,-10.0,6.0,3.6831655279934608,0.0,4,0.008237232995178612,0.0031067353182340656,0.040271165660784744,0.37453069955495305,0.40179692611274503,0.9321392853310654,13.55136139588436
1.5,-10.0,6.0,3.6831655279934608,0.0,8,0.011009804889778926,0.004521317146680043,0.018621756147713865,0.342181133114514,0.3701367978272139,0.924472073901309,3.4813910621294966
1.5,-10.0,6.0,3.6831655279934608,0.3,0,0.00284039301560719,0.0011913541922001772,0.18075244505056298,0.47001851184652815,0.4963099105542904,0.9470262468093789,276.8739796775055
1.5,-10.0,6.0,3.6831655279934608,0.3,2,0.005869792391263244,0.0021661763865664443,0.07456490055690125,0.4081137569009113,0.43496883348614634,0.9382597682459233,41.788355593380345
1.5,-10.0,6.0,3.6831655279934608,0.3,4,0.008238452502629572,0.0031207262900867926,0.04026508887191505,0.37410906959881857,0.4013465884366115,0.9321346695784988,13.549238424371808
