model,R,a,a_over_R,ni,z0,zi,qmax,peak_ratio_R_H2_over_H0,energy_ratio_R_H2_over_H0,peak_ratio_L_H1_over_H0,intensity_delta_from_H2
paraxial,1.0,0.95,0.95,1.8,2.5,10.0,338.34586466165416,0.015590638854341232,0.001644802003020096,0.01951584536868308,0.022163387830168777
paraxial,1.2,1.02,0.85,2.0,2.5,10.0,451.1278195488722,0.015323828085911616,0.0015915668702778094,0.019183360827704648,0.021844183727347127
paraxial,1.2,1.14,0.95,1.5,2.5,5.0,676.6917293233082,0.01429963941355812,0.0013888329337877203,0.01790887210851209,0.020434267263228268
paraxial,0.8,0.76,0.95,1.5,2.5,10.0,225.56390977443607,0.014304579297949092,0.0013799131931484646,0.017909372177706523,0.020298428223835464
paraxial,1.6,1.1199999999999999,0.7,1.5,2.5,5.0,902.2556390977443,0.01379237957890488,0.0012949838541491535,0.017268228658405622,0.01977901012867585
paraxial,1.6,1.36,0.85,2.0,2.5,5.0,1203.0075187969926,0.012137304961840031,0.001027876722974524,0.015191147781472516,0.019158698543835125
paraxial,1.0,0.95,0.95,2.0,2.5,10.0,375.9398496240602,0.013361712821984027,0.001208944921214593,0.016729971087613097,0.019108414309102813
paraxial,1.0,0.85,0.85,1.8,2.5,10.0,338.34586466165416,0.012460915266159098,0.0010501752796346854,0.015598586146030468,0.017828328921154043
paraxial,1.2,0.84,0.7,1.8,2.5,10.0,406.01503759398497,0.012204300788041425,0.0010082969962665203,0.015279388768563272,0.017483654338321684
paraxial,1.0,0.7,0.7,1.5,2.5,10.0,281.9548872180451,0.012137138091643839,0.0009942646814778257,0.015193975489760632,0.017325344459508882
paraxial,1.2,1.02,0.85,1.5,2.5,5.0,676.6917293233082,0.0114230538166828,0.0008856784015338148,0.01430400765524603,0.01641835995852087
paraxial,0.8,0.68,0.85,1.5,2.5,10.0,225.56390977443607,0.011425415176529114,0.0008794040043831122,0.014304099052507261,0.016303249838093177
paraxial,1.6,1.1199999999999999,0.7,1.8,2.5,5.0,1082.7067669172934,0.00965914197709289,0.0006790692528083827,0.012092222369044052,0.015392011801411877
paraxial,1.0,0.85,0.85,2.0,2.5,10.0,375.9398496240602,0.010680142297776779,0.000771924990436428,0.013370915025024771,0.015353744644884119
paraxial,1.2,0.84,0.7,2.0,2.5,10.0,451.1278195488722,0.010459172984823044,0.0007411031012621262,0.013095918212101014,0.015060098163322452
paraxial,1.2,1.14,0.95,1.8,2.5,5.0,812.0300751879699,0.010013034242608245,0.000680900493376042,0.012536114172609834,0.014466026018850898
paraxial,0.8,0.76,0.95,1.8,2.5,10.0,270.67669172932335,0.010014350446520905,0.0006770241184942605,0.01253597120177036,0.014377205435351093
paraxial,1.0,0.95,0.95,1.5,2.5,5.0,563.9097744360902,0.009952757666857636,0.0006717408064203449,0.012462137128626581,0.014346007922086734
paraxial,1.6,1.1199999999999999,0.7,2.0,2.5,5.0,1203.0075187969926,0.008279294353957632,0.0004976443607478458,0.010363229613252053,0.013594081777056427
paraxial,1.2,1.14,0.95,2.0,2.5,5.0,902.2556390977444,0.008583431936326491,0.0005004659199021233,0.010746006425880463,0.012442190935562885
paraxial,0.8,0.76,0.95,2.0,2.5,10.0,300.75187969924815,0.008582743821935667,0.0004977330759577335,0.010746057287188653,0.012374229801570148
paraxial,1.0,0.7,0.7,1.8,2.5,10.0,338.34586466165416,0.008495617214751379,0.00048773382092373384,0.01063548158647653,0.012247575531512383
exact,1.6,1.52,0.95,2.0,2.5,10.0,601.5037593984963,0.008361038325646537,0.0004520746886167675,0.01053888469791335,0.012090000085590627
paraxial,1.2,1.02,0.85,1.8,2.5,5.0,812.0300751879699,0.007998068693631412,0.00043421806350090386,0.01001243193260716,0.01160018589190454
paraxial,0.8,0.68,0.85,1.8,2.5,10.0,270.67669172932335,0.007997678734472838,0.00043151672126359313,0.010011940481476727,0.011521970708779751
paraxial,1.0,0.85,0.85,1.5,2.5,5.0,563.9097744360902,0.007944846768545934,0.0004280067257770839,0.009949102776409946,0.011501739145686071
exact,1.6,1.52,0.95,1.8,2.5,10.0,541.3533834586467,0.007963103884992549,0.0004078737358628239,0.0100466036351948,0.01145455605729762
paraxial,1.2,0.84,0.7,1.5,2.5,5.0,676.6917293233082,0.007782735240783736,0.0004107951247009896,0.009743614871392184,0.011274415184142694
paraxial,0.8,0.5599999999999999,0.7,1.5,2.5,10.0,225.56390977443607,0.00778289545309738,0.00040732597121641946,0.009743780171513247,0.011175958620071983
paraxial,1.0,0.7,0.7,2.0,2.5,10.0,375.9398496240602,0.007282341285802419,0.0003585425630218547,0.009116139946740777,0.010536082965920778
exact,1.6,1.36,0.85,2.0,2.5,10.0,601.5037593984963,0.007040116624975285,0.0003225253010924527,0.008863075741203237,0.010209467882686549
paraxial,1.0,0.95,0.95,1.8,2.5,5.0,676.6917293233083,0.006967375795396699,0.00032932322269438845,0.008723163920357171,0.010120331015413455
paraxial,1.2,1.02,0.85,2.0,2.5,5.0,902.2556390977444,0.006851590612030716,0.00031913789866172825,0.008582473900291328,0.009973338208643824
paraxial,0.8,0.68,0.85,2.0,2.5,10.0,300.75187969924815,0.006854985587272361,0.00031727102023397475,0.008582416969654524,0.00991180284912914
exact,1.6,1.52,0.95,1.5,2.5,10.0,451.12781954887214,0.006888322785686168,0.00030150280862672703,0.008719286948194595,0.0097778674702194
exact,1.6,1.36,0.85,1.8,2.5,10.0,541.3533834586467,0.006747672319003291,0.00029481749668746097,0.008503884392944675,0.009738478388421849
paraxial,1.6,1.52,0.95,1.5,5.0,10.0,451.12781954887214,0.006380846066653108,0.0002762293423318844,0.007988242505632091,0.009274682845076552
paraxial,0.8,0.76,0.95,1.5,2.5,5.0,451.12781954887214,0.0063799308491651625,0.0002756159843526929,0.007988411360807761,0.00925516386326676
paraxial,1.0,0.95,0.95,2.0,2.5,5.0,751.8796992481203,0.005971886912484613,0.00024202132489003095,0.007477340590405154,0.008697673332573212
exact,1.6,1.36,0.85,1.5,2.5,10.0,451.12781954887214,0.0059385167021587856,0.0002254789436334661,0.007501950473514974,0.008463454202302061
paraxial,1.0,0.85,0.85,1.8,2.5,5.0,676.6917293233083,0.005562563272715478,0.0002098406758045053,0.006964042043764714,0.008102407197246407
paraxial,1.2,0.84,0.7,1.8,2.5,5.0,812.0300751879699,0.0054482221321487485,0.00020140496811440749,0.006819301388211284,0.007944085640204272
paraxial,0.8,0.5599999999999999,0.7,1.8,2.5,10.0,270.67669172932335,0.005447666232830968,0.0001999346384800415,0.00682019557317733,0.00788113825019931
paraxial,1.0,0.7,0.7,1.5,2.5,5.0,563.9097744360902,0.005409592448708192,0.00019828696964221897,0.006773701976938545,0.007870415031719868
exact,1.2,1.14,0.95,2.0,2.5,10.0,451.1278195488722,0.00531610653247046,0.00018540165715089414,0.006684423868982519,0.0077304309616325366
exact,1.6,1.1199999999999999,0.7,2.0,2.5,10.0,601.5037593984963,0.005158165689000121,0.00017484120572841568,0.0064848282697845695,0.0075064545619292255
exact,1.2,1.14,0.95,1.8,2.5,10.0,406.01503759398497,0.0051405923225314645,0.00017264383930763229,0.006469129178809235,0.0074447499452419295
paraxial,1.6,1.36,0.85,1.5,5.0,10.0,451.12781954887214,0.005092522252280407,0.00017589684867974303,0.0063750641216470585,0.007422472024955854
paraxial,0.8,0.68,0.85,1.5,2.5,5.0,451.12781954887214,0.0050918600785700065,0.00017546750716505884,0.006374810100083722,0.007404161217907239
exact,1.6,1.1199999999999999,0.7,1.8,2.5,10.0,541.3533834586467,0.004993397215845406,0.00016309698480243204,0.006280399151456916,0.00724249913577428
paraxial,1.0,0.85,0.85,2.0,2.5,5.0,751.8796992481203,0.004766823649313295,0.00015421579222826116,0.005968118849715323,0.006956291452572735
paraxial,1.2,0.84,0.7,2.0,2.5,5.0,902.2556390977444,0.004669730999373675,0.0001480229374097093,0.005845586011237331,0.006823365767238504
paraxial,0.8,0.5599999999999999,0.7,2.0,2.5,10.0,300.75187969924815,0.0046698036735971955,0.00014701598374414424,0.005845964741289054,0.0067735278229753264
exact,1.2,1.14,0.95,1.5,2.5,10.0,338.3458646616541,0.004637534092780932,0.00013880196941381843,0.005847821834509833,0.006644530617738837
paraxial,1.6,1.52,0.95,1.8,5.0,10.0,541.3533834586467,0.004466440661619481,0.00013542048763741612,0.00559211141324331,0.006527113814621587
paraxial,0.8,0.76,0.95,1.8,2.5,5.0,541.3533834586467,0.004465895395138654,0.00013514459257270146,0.0055911375748116734,0.0065136923161478654
exact,1.6,1.1199999999999999,0.7,1.5,2.5,10.0,451.12781954887214,0.0045149107396136,0.0001317710428875643,0.00569138166613381,0.006480048532354645
exact,1.2,1.02,0.85,2.0,2.5,10.0,451.1278195488722,0.00439394937097397,0.00012729228852934577,0.005520714725708314,0.006402779396851221
exact,1.6,1.52,0.95,1.8,2.5,5.0,1082.7067669172934,0.003825098739100641,0.00010051336699847851,0.004816923680296598,0.006251799837186837
exact,1.2,1.02,0.85,1.8,2.5,10.0,406.01503759398497,0.004271590708414113,0.00011980185027280746,0.005370250290546995,0.006200861494329987
exact,1.0,0.95,0.95,2.0,2.5,10.0,375.9398496240602,0.0038987556049432173,0.00010041545291894715,0.0048958813576162885,0.005681924424774488
exact,1.2,1.02,0.85,1.5,2.5,10.0,338.3458646616541,0.003909911265892565,9.922897589175882e-05,0.004924013240708534,0.0056218513838110435
paraxial,1.6,1.52,0.95,2.0,5.0,10.0,601.5037593984963,0.003827710548225009,9.952460232416132e-05,0.004793161811309084,0.005604822838467101
paraxial,0.8,0.76,0.95,2.0,2.5,5.0,601.5037593984963,0.0038278642803876188,9.932473585304343e-05,0.00479265584512814,0.0055933228048994045
paraxial,1.0,0.7,0.7,1.8,2.5,5.0,676.6917293233083,0.0037875562099116094,9.722375039208025e-05,0.0047410810226306424,0.005533877657670257
exact,1.0,0.95,0.95,1.8,2.5,10.0,338.34586466165416,0.003800969018939749,9.506934306686994e-05,0.004776371987167233,0.005521004811246388
paraxial,1.2,1.14,0.95,1.5,5.0,10.0,338.3458646616541,0.0035932509982019895,8.746628380950761e-05,0.004499342334398892,0.005248433800609908
paraxial,1.6,1.36,0.85,1.8,5.0,10.0,541.3533834586467,0.0035645494363069053,8.623468154429107e-05,0.004462783045433506,0.005218845478909492
paraxial,0.8,0.68,0.85,1.8,2.5,5.0,541.3533834586467,0.0035649289671092414,8.604532338102518e-05,0.0044629489807223414,0.005204831249171273
exact,1.6,1.52,0.95,1.5,2.5,5.0,902.2556390977443,0.003453326884454102,7.875669449032541e-05,0.004357609133841041,0.0051633722366607
exact,1.6,1.36,0.85,1.8,2.5,5.0,1082.7067669172934,0.0032109880436734135,7.057694873041241e-05,0.004039890889923644,0.00512766140290429
paraxial,1.6,1.1199999999999999,0.7,1.5,5.0,10.0,451.12781954887214,0.0034658427105449946,8.14316498785287e-05,0.004339005131013771,0.005067951032201615
paraxial,0.8,0.5599999999999999,0.7,1.5,2.5,5.0,451.12781954887214,0.003465565209659872,8.119780430523496e-05,0.004338866338511447,0.005051769009685034
exact,1.0,0.95,0.95,1.5,2.5,10.0,281.9548872180451,0.0035076676916770914,8.00941337161092e-05,0.004415030224590804,0.005048746103903606
paraxial,1.0,0.7,0.7,2.0,2.5,5.0,751.8796992481203,0.0032457301384695653,7.14543900043013e-05,0.00406391644526194,0.004749305900481338
exact,1.0,0.85,0.85,2.0,2.5,10.0,375.9398496240602,0.0031933103399173746,6.763125911341393e-05,0.004008554396139769,0.004660285945444377
exact,1.2,0.84,0.7,2.0,2.5,10.0,451.1278195488722,0.0031343948205033007,6.521567314986126e-05,0.003934093340979599,0.004577834637917544
exact,1.0,0.85,0.85,1.8,2.5,10.0,338.34586466165416,0.003126444215419578,6.459584268413452e-05,0.003926202523768857,0.004549127990573202
paraxial,1.6,1.36,0.85,2.0,5.0,10.0,601.5037593984963,0.0030541583115220572,6.337627670557125e-05,0.0038252288467152755,0.004480131096894865
paraxial,0.8,0.68,0.85,2.0,2.5,5.0,601.5037593984963,0.003055542373671418,6.324168688767556e-05,0.00382530227500581,0.004469543733782215
exact,1.2,0.84,0.7,1.8,2.5,10.0,406.01503759398497,0.0030699794830509708,6.233793398691638e-05,0.003854492187474393,0.004469416789313454
exact,1.6,1.36,0.85,1.5,2.5,5.0,902.2556390977443,0.002939590192302573,5.6876467828346086e-05,0.0037042344647043144,0.004320075551376166
exact,1.0,0.85,0.85,1.5,2.5,10.0,281.9548872180451,0.0029213757490013227,5.583581268073861e-05,0.0036732655763521784,0.004216729465176043
paraxial,1.2,1.02,0.85,1.5,5.0,10.0,338.3458646616541,0.0028674207055464068,5.565899959209205e-05,0.003589430888131108,0.004192305976417118
exact,1.2,0.84,0.7,1.5,2.5,10.0,338.3458646616541,0.0028714261437827217,5.4007251058386984e-05,0.0036101625070194972,0.004149431268572154
exact,0.8,0.76,0.95,2.0,2.5,10.0,300.75187969924815,0.0026182225843287767,4.554317714681696e-05,0.0032845109272324506,0.0038194061032270532
exact,0.8,0.76,0.95,1.8,2.5,10.0,270.67669172932335,0.002572207822156923,4.382029236094417e-05,0.003228505392828782,0.00374242923577872
exact,1.6,1.1199999999999999,0.7,1.8,2.5,5.0,1082.7067669172934,0.002340434440971232,3.8594089262300666e-05,0.0029398288505966008,0.0037423724049525267
paraxial,1.2,1.14,0.95,1.8,5.0,10.0,406.01503759398497,0.0025157976459834457,4.2885323299098146e-05,0.003149451554818473,0.0036852368801413783
paraxial,1.0,0.95,0.95,1.5,5.0,10.0,281.9548872180451,0.0024970636052742,4.2156274122975086e-05,0.00312570961537608,0.003649391165996963
paraxial,1.6,1.1199999999999999,0.7,1.8,5.0,10.0,541.3533834586467,0.002425511418237315,3.9924677612053375e-05,0.003037325444291796,0.0035575595941796643
paraxial,0.8,0.5599999999999999,0.7,1.8,2.5,5.0,541.3533834586467,0.002426168079926087,3.9823144184685324e-05,0.003037333500266534,0.0035492934590441168
exact,1.2,1.14,0.95,1.8,2.5,5.0,812.0300751879699,0.002412264078969178,3.844766741664047e-05,0.0030324540832459904,0.003517897757932946
exact,0.8,0.76,0.95,1.5,2.5,10.0,225.56390977443607,0.0024294284495898376,3.8726368512372346e-05,0.003052537088016791,0.0035085945572920535
exact,1.0,0.7,0.7,2.0,2.5,10.0,375.9398496240602,0.0022495540185976082,3.372241264728326e-05,0.002821162171326034,0.0032871505614134964
exact,1.2,1.14,0.95,1.5,2.5,5.0,676.6917293233082,0.002252234264349315,3.317641511407422e-05,0.002833719066863921,0.0032605169367381282
