model,R,a,a_over_R,ni,z0,zi,qmax,peak_ratio_R_H2_over_H0,energy_ratio_R_H2_over_H0,peak_ratio_L_H1_over_H0,intensity_delta_from_H2
exact,1.0,0.95,0.95,1.5,5.0,10.0,281.9548872180451,0.00047597839365614897,1.5189562364579514e-06,0.000596445098235097,0.0006966364782906192
exact,1.0,0.85,0.85,1.8,5.0,10.0,338.34586466165416,0.00038815803263107183,1.0142273628280678e-06,0.000486153613416429,0.0005694859805275478
exact,1.0,0.85,0.85,1.5,5.0,10.0,281.9548872180451,0.0003833256256097904,9.862562858072617e-07,0.00048029409049666445,0.0005611211789019857
exact,1.2,0.84,0.7,1.8,5.0,10.0,406.01503759398497,0.0003803223958965071,9.746040160946442e-07,0.0004763973912354047,0.0005583420423373624
exact,1.2,0.84,0.7,1.5,5.0,10.0,338.3458646616541,0.000375675687951951,9.483153217162517e-07,0.0004707142453609729,0.0005503803425805429
exact,0.8,0.76,0.95,1.8,5.0,10.0,270.67669172932335,0.00031309267762417954,6.592840076896965e-07,0.0003921105310834779,0.0004585650336538344
exact,0.8,0.76,0.95,1.5,5.0,10.0,225.56390977443607,0.00030992152093660424,6.441739515910213e-07,0.0003882455124800561,0.0004529235987260067
exact,1.0,0.7,0.7,1.8,5.0,10.0,338.34586466165416,0.00026621699085612154,4.773957449252518e-07,0.00033339893115133317,0.0003903268064189489
exact,1.0,0.7,0.7,1.5,5.0,10.0,281.9548872180451,0.00026394726773037167,4.6802663923518206e-07,0.00033061206641680195,0.0003862522989860005
exact,0.8,0.68,0.85,1.8,5.0,10.0,270.67669172932335,0.0002508131941934423,4.2309514281452327e-07,0.00031409455628271646,0.00036720516275811726
exact,0.8,0.68,0.85,1.5,5.0,10.0,225.56390977443607,0.000248782590710615,4.151186952853369e-07,0.0003116211958149584,0.00036341485403937584
exact,0.8,0.5599999999999999,0.7,1.8,5.0,10.0,270.67669172932335,0.00017150241199788882,1.9774731441664289e-07,0.00021476698572585684,0.00025080950955907923
exact,0.8,0.5599999999999999,0.7,1.5,5.0,10.0,225.56390977443607,0.00017055857230403767,1.9503027007004136e-07,0.00021360413070645705,0.00024886177767562617
