ni,alpha_deg,NA_obj,NA_proxy_ni,a_eff,I0_scalar,I0_total,F_c,D_c,abs_delta_energy,signed_delta_energy,rel_l1_delta
2.6,10.0,0.17364817766693033,0.4514852619340189,0.35265396141692995,0.15139894206204405,0.047037862211776305,0.31068818296299555,0.6893118170370045,3.9179582012019205,-3.9179582012019205,0.688847066126176
2.6,20.0,0.3420201433256687,0.8892523726467387,0.7279404685324047,2.790859655791772,0.8859346483201792,0.3174414902883527,0.6825585097116473,29.372130240986962,-29.37212930623023,0.6808872179076987
2.6,30.0,0.49999999999999994,1.2999999999999998,1.1547005383792512,17.76726758289132,5.881869880528039,0.3310508975613044,0.6689491024386955,70.455517814333,-70.45530912906487,0.6612938920955819
2.6,40.0,0.6427876096865393,1.671247785185002,1.6781992623545599,76.37191737486683,27.2216027706292,0.3564347171881734,0.6435652828118266,237.27007861293515,-237.2683450463382,0.6238126242912888
2.2,10.0,0.17364817766693033,0.38202599086724676,0.35265396141692995,0.15139894206204405,0.059532294361779384,0.3932147315625412,0.6067852684374588,2.4440298872166797,-2.4440298872166797,0.6063808693173277
2.2,20.0,0.3420201433256687,0.7524443153164713,0.7279404685324047,2.790859655791772,1.1212610392802267,0.40176188614619635,0.5982381138538037,25.04629926323944,-25.046297396956575,0.5957363643509586
2.2,30.0,0.49999999999999994,1.0999999999999999,1.1547005383792512,17.76726758289132,7.444241567543303,0.41898629222602607,0.5810137077739739,61.56835180718237,-61.56807159219169,0.5713132188614622
2.2,40.0,0.6427876096865393,1.4141327413103866,1.6781992623545599,76.37191737486683,34.452341006577576,0.45111268894128187,0.5488873110587181,143.4626462761131,-143.45398436944558,0.5100130391319914
1.8,10.0,0.17364817766693033,0.3125667198004746,0.35265396141692995,0.15139894206204405,0.07775646610518124,0.5135865881633191,0.48641341183668085,1.9386386337150592,-1.9386386261049595,0.48585690559628303
1.8,20.0,0.3420201433256687,0.6156362579862037,0.7279404685324047,2.790859655791772,1.4645042145700924,0.5247502186399301,0.4752497813600699,14.538985493495954,-14.538981957561749,0.469836054119894
1.8,30.0,0.49999999999999994,0.8999999999999999,1.1547005383792512,17.76726758289132,9.723091026995332,0.547247402091136,0.452752597908864,45.993650267931955,-45.922112104326246,0.43612513961173266
1.8,40.0,0.6427876096865393,1.1570176974357707,1.6781992623545599,76.37191737486683,44.9989760085911,0.5892084100457556,0.41079158995424436,74.82364607449132,-71.28948088818146,0.34959419129996655
